ANMOIS;CIE;CIE_NOM;;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ
202401;VLG;VUELING AIRLINES;;ESPAGNE;414682;1,8;414700
202401;VOE;VOLOTEA;;ESPAGNE;266246;0,1;266247
202401;VTA;AIR TAHITI;;FRANCE (OM);67707;168,8;69395
202401;VTI;VISTARA;;INDE;11042;401,5;15057
202401;WIA;WINAIR (ANTILLES);;PAYS-BAS (ANTILLES);10593;0;10593
202401;WMT;WIZZ AIR MALTA;;MALTE;129532;0,2;129534
202401;WUK;WIZZ AIR UK;;ROYAUME-UNI;12241;0;12241
202401;WZZ;WIZZ AIR;;HONGRIE;131588;0;131588
202401;ZZE; AUTRES CIE (E);;_ZZ_E;222869;5297,3;275842
202401;ZZF; AUTRES CIE (F);;_ZZ_F;46127;375,5;49882
202402;AAL;AMERICAN AIRLINES;;ETATS-UNIS;43865;1696,8;60833
202402;AAR;ASIANA AIRLINES;;COREE DU SUD;13785;360,2;17387
202402;ACA;AIR CANADA;;CANADA;60125;1769,8;77823
202402;ACI;AIRCALIN;;FRANCE (OM);30474;292,1;33395
202402;AEA;AIR EUROPA;;ESPAGNE;33563;31,8;33881
202402;AEE;AEGEAN AIRLINES;;GRECE;20363;66,4;21027
202402;AFR;AIR FRANCE;;FRANCE;2956554;43544;3391994
202402;AIC;AIR INDIA;;INDE;12202;484;17042
202402;AMC;AIR MALTA;;MALTE;17978;18,2;18160
202402;AMX;AEROMEXICO;;MEXIQUE;11491;379,1;15282
202402;ANE;AIR NOSTRUM;;ESPAGNE;62646;0;62646
202402;ASL;AIR SERBIA;;SERBIE;11378;21,7;11595
202402;AUA;AUSTRIAN AIRLINES;;AUTRICHE;44292;37,2;44664
202402;AZU;AZUL;;BRESIL;9890;156;11450
202402;BAW;BRITISH AIRWAYS;;ROYAUME-UNI;176025;112;177145
202402;BCS;EAT/EUROPEAN AIR TRANSP;;ALLEMAGNE;4;10549,8;105502
202402;BEL;BRUSSELS AIRLINES;;BELGIQUE;61763;6,9;61832
202402;BGA;AIRBUS TRANSPORT INTL;;FRANCE;0;3287,9;32879
202402;BTI;AIR BALTIC;;LETTONIE;13136;64,9;13785
202402;CCA;AIR CHINA INTL;;CHINE;27533;4163,1;69164
202402;CCM;AIR CORSICA;;FRANCE;132769;111,9;133888
202402;CES;CHINA EASTERN AIRLINES;;CHINE;26859;2058,2;47441
202402;CMA;CMA CGM AIR CARGO;;FRANCE;0;4989,9;49899
202402;CPA;CATHAY PACIFIC;;HONG KONG (CHINE);14983;1994,5;34928
202402;CRL;CORSAIR;;FRANCE;117166;2231,4;139480
202402;CSN;CHINA SOUTHERN AIRLINES;;CHINE;11910;568,1;17591
202402;DAH;AIR ALGERIE;;ALGERIE;226953;1156,3;238516
202402;DAL;DELTA AIR LINES;;ETATS-UNIS;113901;2610,8;140009
202402;DLH;LUFTHANSA;;ALLEMAGNE;207655;527,3;212928
202402;EFW;BA EUROFLYER;;ROYAUME-UNI;11891;0;11891
202402;EIN;AER LINGUS;;IRLANDE;47499;57,6;48075
202402;EJU;EASYJET EUROPE;;AUTRICHE;1077999;0,2;1078001
202402;ELY;EL AL;;ISRAEL;33802;854,3;42345
202402;ETD;ETIHAD AIRWAYS;;EMIRATS ARABES UNIS;20685;1025,1;30936
202402;ETH;ETHIOPIAN AIRLINES;;ETHIOPIE;18400;706,7;25467
202402;EVA;EVA AIR;;TAIWAN;17111;556;22671
202402;EWG;EUROWINGS;;ALLEMAGNE;11559;0;11559
202402;EXS;JET2.COM;;ROYAUME-UNI;28154;6,7;28221
